iteration,cost,best_cost,survived_frac,mean_abs_x,mean_abs_theta,mean_abs_x_dot,mean_abs_theta_dot,mean_abs_u,settle_abs_x,settle_abs_theta,kp_theta,ki_theta,kd_theta,kp_x,ki_x,kd_x
78,1.744850,1.739729,1.0000,0.024287,0.001245,0.010457,0.001932,0.016731,0.000777,0.000007,61.429406,0.598325,18.813061,2.800000,0.020416,2.174658
79,1.743738,1.739729,1.0000,0.023350,0.001276,0.010710,0.001973,0.016914,0.000779,0.000001,58.650002,0.598325,18.813061,2.800000,0.020416,1.896718
80,1.738527,1.738527,1.0000,0.023923,0.001257,0.010588,0.001932,0.016758,0.000738,0.000003,61.429406,0.549106,18.813061,2.800000,0.020416,1.896718
81,1.738981,1.738527,1.0000,0.023670,0.001243,0.010471,0.001931,0.016709,0.000717,0.000003,61.429406,0.549106,18.222437,2.800000,0.020416,1.896718
82,1.758603,1.738527,1.0000,0.026349,0.001267,0.010682,0.001871,0.016736,0.000974,0.000014,61.429406,0.549106,18.813061,2.524376,0.020416,1.896718
83,1.770000,1.738527,1.0000,0.024431,0.001249,0.010526,0.001931,0.016674,0.001158,0.000003,61.429406,0.549106,18.813061,2.800000,0.012541,1.896718
84,1.869912,1.738527,1.0000,0.023407,0.001299,0.010849,0.002027,0.017101,0.002199,0.000003,57.724283,0.612191,19.377166,2.945977,0.004872,1.747012
85,1.739482,1.738527,1.0000,0.024384,0.001244,0.010499,0.001906,0.016652,0.000745,0.000005,63.419342,0.549106,18.813061,2.800000,0.020416,1.896718
86,1.757225,1.738527,1.0000,0.023961,0.001260,0.010612,0.001932,0.016787,0.000972,0.000003,61.429406,0.459961,18.813061,2.800000,0.020416,1.896718
87,1.738561,1.738527,1.0000,0.023877,0.001254,0.010567,0.001932,0.016748,0.000734,0.000003,61.429406,0.549106,18.704373,2.800000,0.020416,1.896718
88,1.741958,1.738527,1.0000,0.022193,0.001251,0.010527,0.001986,0.016809,0.000665,0.000002,61.429406,0.549106,18.813061,3.038855,0.020416,1.896718
89,1.777797,1.738527,1.0000,0.024516,0.001248,0.010519,0.001931,0.016665,0.001258,0.000003,61.429406,0.549106,18.813061,2.800000,0.011639,1.896718
90,1.744364,1.738527,1.0000,0.024277,0.001244,0.010451,0.001932,0.016745,0.000753,0.000008,61.429406,0.549106,18.813061,2.800000,0.020416,2.220046
91,1.740784,1.738527,1.0000,0.023312,0.001241,0.010436,0.001950,0.016729,0.000723,0.000003,62.537815,0.542825,18.976153,2.952243,0.021222,2.126780
92,1.739279,1.738527,1.0000,0.023974,0.001256,0.010577,0.001932,0.016745,0.000760,0.000003,61.429406,0.590942,18.813061,2.800000,0.020416,1.896718
93,1.738646,1.738527,1.0000,0.024139,0.001269,0.010688,0.001934,0.016809,0.000757,0.000002,61.429406,0.549106,19.315090,2.800000,0.020416,1.896718
94,1.741785,1.738527,1.0000,0.022224,0.001251,0.010527,0.001985,0.016808,0.000666,0.000002,61.429406,0.549106,18.813061,3.034281,0.020416,1.896718
